BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,99,364,0,14.267035720404238,33.62799031531904,20
0,99,364,1,33.62799031531904,52.98894491023384,96
0,99,364,2,52.98894491023384,72.34989950514864,133
0,99,364,3,72.34989950514864,91.71085410006344,57
0,99,364,4,91.71085410006344,111.07180869497824,30
0,99,364,5,111.07180869497824,130.43276328989305,14
0,99,364,6,130.43276328989305,149.79371788480785,3
0,99,364,7,149.79371788480785,169.15467247972265,1
0,99,364,8,169.15467247972265,188.51562707463745,0
0,99,364,9,188.51562707463745,207.87658166955225,2
1,364,384,0,27.46065881976392,40.366338816762436,6
1,364,384,1,40.366338816762436,53.27201881376095,11
1,364,384,2,53.27201881376095,66.17769881075947,26
1,364,384,3,66.17769881075947,79.08337880775798,15
1,364,384,4,79.08337880775798,91.9890588047565,7
1,364,384,5,91.9890588047565,104.89473880175501,5
1,364,384,6,104.89473880175501,117.80041879875353,0
1,364,384,7,117.80041879875353,130.70609879575204,1
1,364,384,8,130.70609879575204,143.61177879275056,0
1,364,384,9,143.61177879275056,156.51745878974907,1
2,384,385,0,57.53881997021381,62.370758804201614,1
2,384,385,1,62.370758804201614,67.20269763818942,0
2,384,385,2,67.20269763818942,72.03463647217723,2
2,384,385,3,72.03463647217723,76.86657530616503,0
2,384,385,4,76.86657530616503,81.69851414015284,0
2,384,385,5,81.69851414015284,86.53045297414066,0
2,384,385,6,86.53045297414066,91.36239180812846,0
2,384,385,7,91.36239180812846,96.19433064211627,1
2,384,385,8,96.19433064211627,101.02626947610408,1
2,384,385,9,101.02626947610408,105.85820831009188,2
3,385,400,0,28.571686529903683,41.4158975299215,10
3,385,400,1,41.4158975299215,54.260108529939316,14
3,385,400,2,54.260108529939316,67.10431952995714,22
3,385,400,3,67.10431952995714,79.94853052997496,11
3,385,400,4,79.94853052997496,92.79274152999278,11
3,385,400,5,92.79274152999278,105.63695253001059,4
3,385,400,6,105.63695253001059,118.48116353002841,2
3,385,400,7,118.48116353002841,131.32537453004622,1
3,385,400,8,131.32537453004622,144.16958553006404,0
